fecha_clima,region,temp_max,temp_min,lluvia_mm
2023-01-01,VALPARAISO,25.6,15.7,0.0
2023-01-02,VALPARAISO,24.3,15.5,0.0
2023-01-03,VALPARAISO,27.1,15.4,0.0
2023-01-04,VALPARAISO,27.0,19.3,0.0
2023-01-05,VALPARAISO,25.5,15.5,0.0
2023-01-06,VALPARAISO,28.5,17.0,0.0
2023-01-07,VALPARAISO,27.3,16.1,0.0
2023-01-08,VALPARAISO,26.4,18.5,0.0
2023-01-09,VALPARAISO,25.0,15.8,0.0
2023-01-10,VALPARAISO,26.9,15.9,0.0
2023-01-11,VALPARAISO,28.7,17.7,0.0
2023-01-12,VALPARAISO,26.1,16.1,0.0
2023-01-13,VALPARAISO,27.2,15.9,0.0
2023-01-14,VALPARAISO,23.8,13.4,0.0
2023-01-15,VALPARAISO,27.7,15.7,0.0
2023-01-16,VALPARAISO,24.9,15.9,0.0
2023-01-17,VALPARAISO,25.0,14.4,0.0
2023-01-18,VALPARAISO,26.8,18.8,0.0
2023-01-19,VALPARAISO,22.5,14.2,0.0
2023-01-20,VALPARAISO,25.0,12.1,0.0
2023-01-21,VALPARAISO,25.8,15.8,0.0
2023-01-22,VALPARAISO,27.0,16.4,0.0
2023-01-23,VALPARAISO,27.8,17.0,0.0
2023-01-24,VALPARAISO,28.3,15.6,0.0
2023-01-25,VALPARAISO,26.6,15.9,0.0
2023-01-26,VALPARAISO,24.0,13.3,0.0
2023-01-27,VALPARAISO,28.9,15.9,0.0
2023-01-28,VALPARAISO,29.9,19.9,0.0
2023-01-29,VALPARAISO,27.1,19.2,0.0
2023-01-30,VALPARAISO,26.0,15.7,0.0
2023-01-31,VALPARAISO,27.3,17.7,0.0
2023-02-01,VALPARAISO,28.1,17.2,0.0
2023-02-02,VALPARAISO,29.9,18.8,0.0
2023-02-03,VALPARAISO,29.4,19.3,0.0
2023-02-04,VALPARAISO,27.8,18.0,0.0
2023-02-05,VALPARAISO,28.2,18.5,0.0
2023-02-06,VALPARAISO,29.8,19.8,0.0
2023-02-07,VALPARAISO,29.1,19.7,0.0
2023-02-08,VALPARAISO,31.0,20.2,0.0
2023-02-09,VALPARAISO,31.1,21.1,0.0
2023-02-10,VALPARAISO,28.9,20.4,0.0
2023-02-11,VALPARAISO,30.9,19.0,0.0
2023-02-12,VALPARAISO,28.0,18.2,0.0
2023-02-13,VALPARAISO,29.3,18.0,0.0
2023-02-14,VALPARAISO,30.5,18.1,0.0
2023-02-15,VALPARAISO,28.9,17.2,0.0
2023-02-16,VALPARAISO,25.2,16.6,0.0
2023-02-17,VALPARAISO,27.7,17.6,0.0
2023-02-18,VALPARAISO,27.2,18.9,0.0
2023-02-19,VALPARAISO,29.9,17.1,0.0
2023-02-20,VALPARAISO,30.9,20.0,0.0
2023-02-21,VALPARAISO,29.6,19.6,0.0
2023-02-22,VALPARAISO,27.6,19.5,0.0
2023-02-23,VALPARAISO,30.2,18.0,0.0
2023-02-24,VALPARAISO,25.6,17.4,0.0
2023-02-25,VALPARAISO,26.8,15.4,0.0
2023-02-26,VALPARAISO,30.7,17.6,0.0
2023-02-27,VALPARAISO,30.4,19.4,0.0
2023-02-28,VALPARAISO,27.9,18.0,0.0
2023-03-01,VALPARAISO,29.5,18.8,0.0
2023-03-02,VALPARAISO,29.7,17.0,0.0
2023-03-03,VALPARAISO,26.7,14.1,0.0
2023-03-04,VALPARAISO,30.4,18.8,0.0
2023-03-05,VALPARAISO,27.4,19.4,0.0
2023-03-06,VALPARAISO,25.4,16.8,0.0
2023-03-07,VALPARAISO,28.5,15.0,0.0
2023-03-08,VALPARAISO,27.4,14.4,0.0
2023-03-09,VALPARAISO,27.5,18.4,0.0
2023-03-10,VALPARAISO,27.1,17.6,0.0
2023-03-11,VALPARAISO,25.6,14.6,0.0
2023-03-12,VALPARAISO,23.8,15.5,0.0
2023-03-13,VALPARAISO,26.6,14.9,0.0
2023-03-14,VALPARAISO,26.0,16.5,0.0
2023-03-15,VALPARAISO,26.6,17.4,0.0
2023-03-16,VALPARAISO,26.5,16.8,0.0
2023-03-17,VALPARAISO,26.2,17.4,0.0
2023-03-18,VALPARAISO,28.8,18.6,0.0
2023-03-19,VALPARAISO,28.4,18.0,0.0
2023-03-20,VALPARAISO,25.0,17.3,0.0
2023-03-21,VALPARAISO,28.2,19.4,0.0
2023-03-22,VALPARAISO,29.4,18.4,0.0
2023-03-23,VALPARAISO,31.1,18.0,0.0
2023-03-24,VALPARAISO,32.1,18.3,0.0
2023-03-25,VALPARAISO,30.5,17.9,0.0
2023-03-26,VALPARAISO,25.6,16.9,0.0
2023-03-27,VALPARAISO,25.0,16.8,0.0
2023-03-28,VALPARAISO,25.8,13.9,0.0
2023-03-29,VALPARAISO,29.3,16.0,0.0
2023-03-30,VALPARAISO,30.8,19.5,0.0
2023-03-31,VALPARAISO,31.4,18.6,0.0
2023-04-01,VALPARAISO,28.7,17.9,0.0
2023-04-02,VALPARAISO,29.5,17.7,0.0
2023-04-03,VALPARAISO,28.3,17.3,0.0
2023-04-04,VALPARAISO,28.7,18.5,0.0
2023-04-05,VALPARAISO,25.5,16.1,0.0
2023-04-06,VALPARAISO,27.5,17.4,0.0
2023-04-07,VALPARAISO,30.9,17.3,0.0
2023-04-08,VALPARAISO,27.2,17.4,0.0
2023-04-09,VALPARAISO,27.4,17.2,0.0
2023-04-10,VALPARAISO,28.6,18.1,0.0
2023-04-11,VALPARAISO,27.1,17.7,0.0
2023-04-12,VALPARAISO,23.4,14.9,0.0
2023-04-13,VALPARAISO,22.4,12.0,0.0
2023-04-14,VALPARAISO,19.8,12.4,0.0
2023-04-15,VALPARAISO,19.7,10.5,0.0
2023-04-16,VALPARAISO,19.3,10.2,0.0
2023-04-17,VALPARAISO,20.3,10.2,0.0
2023-04-18,VALPARAISO,23.9,11.4,0.0
2023-04-19,VALPARAISO,29.0,15.1,0.0
2023-04-20,VALPARAISO,24.1,12.2,0.0
2023-04-21,VALPARAISO,23.1,10.9,0.0
2023-04-22,VALPARAISO,21.9,14.7,0.0
2023-04-23,VALPARAISO,23.0,12.8,0.0
2023-04-24,VALPARAISO,24.9,11.3,0.0
2023-04-25,VALPARAISO,25.5,15.0,0.0
2023-04-26,VALPARAISO,27.0,15.0,0.0
2023-04-27,VALPARAISO,20.5,11.1,0.0
2023-04-28,VALPARAISO,18.7,11.3,0.0
2023-04-29,VALPARAISO,21.0,13.7,6.5
2023-04-30,VALPARAISO,16.6,11.4,12.6
2023-05-01,VALPARAISO,18.7,10.9,0.0
2023-05-02,VALPARAISO,19.6,12.3,0.0
2023-05-03,VALPARAISO,19.0,9.7,0.0
2023-05-04,VALPARAISO,18.5,9.8,0.0
2023-05-05,VALPARAISO,17.9,11.7,0.0
2023-05-06,VALPARAISO,16.9,9.4,0.0
2023-05-07,VALPARAISO,22.4,11.9,0.0
2023-05-08,VALPARAISO,26.8,14.3,0.0
2023-05-09,VALPARAISO,30.5,15.0,0.0
2023-05-10,VALPARAISO,28.2,17.4,0.0
2023-05-11,VALPARAISO,28.1,17.2,0.0
2023-05-12,VALPARAISO,30.6,16.1,0.0
2023-05-13,VALPARAISO,24.4,18.7,0.0
2023-05-14,VALPARAISO,23.8,12.9,0.0
2023-05-15,VALPARAISO,19.5,11.4,0.0
2023-05-16,VALPARAISO,18.5,10.8,0.9
2023-05-17,VALPARAISO,19.2,11.9,1.2
2023-05-18,VALPARAISO,20.7,13.5,0.0
2023-05-19,VALPARAISO,21.5,11.9,0.0
2023-05-20,VALPARAISO,20.5,12.2,0.0
2023-05-21,VALPARAISO,16.6,9.7,1.1
2023-05-22,VALPARAISO,19.3,8.9,4.0
2023-05-23,VALPARAISO,16.1,11.0,0.0
2023-05-24,VALPARAISO,14.7,12.0,0.0
2023-05-25,VALPARAISO,16.2,11.8,0.3
2023-05-26,VALPARAISO,17.8,6.4,0.0
2023-05-27,VALPARAISO,21.1,13.2,0.0
2023-05-28,VALPARAISO,22.3,16.0,0.0
2023-05-29,VALPARAISO,24.9,11.7,0.0
2023-05-30,VALPARAISO,22.8,13.9,0.0
2023-05-31,VALPARAISO,23.1,12.7,0.0
2023-06-01,VALPARAISO,20.0,12.7,0.0
2023-06-02,VALPARAISO,20.3,9.2,0.0
2023-06-03,VALPARAISO,15.5,10.7,0.0
2023-06-04,VALPARAISO,24.9,13.4,0.0
2023-06-05,VALPARAISO,26.3,16.8,0.0
2023-06-06,VALPARAISO,24.8,17.1,0.0
2023-06-07,VALPARAISO,21.4,12.5,0.0
2023-06-08,VALPARAISO,18.2,11.0,0.0
2023-06-09,VALPARAISO,17.2,9.9,0.1
2023-06-10,VALPARAISO,15.2,8.8,0.0
2023-06-11,VALPARAISO,13.1,7.4,0.0
2023-06-12,VALPARAISO,16.5,6.4,0.0
2023-06-13,VALPARAISO,18.9,7.7,0.0
2023-06-14,VALPARAISO,20.5,7.8,0.0
2023-06-15,VALPARAISO,22.8,9.9,0.0
2023-06-16,VALPARAISO,25.3,12.2,0.0
2023-06-17,VALPARAISO,26.8,11.9,0.0
2023-06-18,VALPARAISO,17.5,8.0,0.8
2023-06-19,VALPARAISO,17.1,6.6,0.0
2023-06-20,VALPARAISO,16.3,9.3,0.0
2023-06-21,VALPARAISO,17.5,10.4,0.1
2023-06-22,VALPARAISO,16.5,12.1,12.8
2023-06-23,VALPARAISO,18.4,12.1,7.8
2023-06-24,VALPARAISO,22.0,13.9,0.0
2023-06-25,VALPARAISO,19.7,12.9,0.0
2023-06-26,VALPARAISO,16.9,11.0,0.0
2023-06-27,VALPARAISO,14.9,9.7,1.0
2023-06-28,VALPARAISO,21.7,8.7,0.0
2023-06-29,VALPARAISO,23.8,11.7,0.0
2023-06-30,VALPARAISO,24.9,9.9,0.0
2023-07-01,VALPARAISO,23.1,10.7,0.0
2023-07-02,VALPARAISO,16.7,7.0,0.0
2023-07-03,VALPARAISO,20.4,11.8,0.0
2023-07-04,VALPARAISO,16.0,10.3,0.0
2023-07-05,VALPARAISO,15.9,8.8,0.0
2023-07-06,VALPARAISO,15.5,7.9,0.0
2023-07-07,VALPARAISO,12.4,8.2,0.0
2023-07-08,VALPARAISO,15.8,7.9,0.0
2023-07-09,VALPARAISO,18.0,9.3,0.0
2023-07-10,VALPARAISO,17.5,8.1,1.0
2023-07-11,VALPARAISO,13.6,5.2,11.6
2023-07-12,VALPARAISO,15.4,6.9,11.7
2023-07-13,VALPARAISO,21.4,5.6,0.0
2023-07-14,VALPARAISO,21.2,8.6,0.0
2023-07-15,VALPARAISO,20.1,12.3,0.0
2023-07-16,VALPARAISO,21.5,8.6,0.0
2023-07-17,VALPARAISO,18.1,7.5,0.0
2023-07-18,VALPARAISO,24.1,12.8,0.0
2023-07-19,VALPARAISO,22.3,16.2,0.0
2023-07-20,VALPARAISO,21.8,11.1,0.0
2023-07-21,VALPARAISO,15.5,8.8,0.0
2023-07-22,VALPARAISO,14.1,7.6,8.2
2023-07-23,VALPARAISO,16.5,10.2,0.0
2023-07-24,VALPARAISO,19.0,11.4,0.0
2023-07-25,VALPARAISO,15.3,9.6,0.0
2023-07-26,VALPARAISO,18.9,9.1,0.0
2023-07-27,VALPARAISO,21.5,8.1,0.0
2023-07-28,VALPARAISO,26.4,11.0,0.0
2023-07-29,VALPARAISO,26.1,15.8,0.0
2023-07-30,VALPARAISO,27.3,14.5,0.0
2023-07-31,VALPARAISO,22.7,14.8,0.0
2023-08-01,VALPARAISO,27.7,13.6,0.0
2023-08-02,VALPARAISO,28.1,17.1,0.0
2023-08-03,VALPARAISO,24.9,18.1,0.0
2023-08-04,VALPARAISO,28.3,12.6,0.0
2023-08-05,VALPARAISO,18.1,9.1,0.0
2023-08-06,VALPARAISO,17.0,6.2,0.5
2023-08-07,VALPARAISO,19.9,9.8,0.0
2023-08-08,VALPARAISO,21.4,11.4,0.0
2023-08-09,VALPARAISO,18.1,10.5,0.0
2023-08-10,VALPARAISO,13.9,8.1,9.0
2023-08-11,VALPARAISO,21.5,8.1,0.0
2023-08-12,VALPARAISO,25.8,12.9,0.0
2023-08-13,VALPARAISO,28.1,13.2,0.0
2023-08-14,VALPARAISO,26.4,12.1,0.0
2023-08-15,VALPARAISO,19.1,10.4,0.4
2023-08-16,VALPARAISO,14.5,10.7,0.2
2023-08-17,VALPARAISO,15.3,9.4,0.5
